task,group,n_shots,mean_cos_own_L13,mean_cos_gm_L13,mean_delta_cos_L13,acc
titlecase_phrase,train,1,0.2860,0.3372,-0.0511,0.1600
titlecase_phrase,train,2,0.3418,0.3475,-0.0057,0.5867
titlecase_phrase,train,3,0.3502,0.3460,0.0042,0.7800
titlecase_phrase,train,4,0.3557,0.3459,0.0097,0.8400
titlecase_phrase,train,5,0.3640,0.3474,0.0166,0.8867
titlecase_phrase,train,6,0.3707,0.3490,0.0217,0.8733
uppercase_word,heldout,0,0.1131,0.2731,-0.1600,0.0000
uppercase_word,heldout,1,0.2794,0.3399,-0.0605,0.2867
uppercase_word,heldout,2,0.3381,0.3576,-0.0195,0.8733
uppercase_word,heldout,3,0.3487,0.3621,-0.0133,0.8667
uppercase_word,heldout,4,0.3567,0.3644,-0.0077,0.8600
uppercase_word,heldout,5,0.3646,0.3669,-0.0024,0.9267
uppercase_word,heldout,6,0.3737,0.3704,0.0033,0.9600
us-city-state,train,0,0.1651,0.2253,-0.0602,0.0000
us-city-state,train,1,0.3663,0.3054,0.0609,0.4133
us-city-state,train,2,0.3855,0.3146,0.0709,0.5933
us-city-state,train,3,0.3973,0.3177,0.0795,0.5733
us-city-state,train,4,0.4077,0.3204,0.0873,0.6467
us-city-state,train,5,0.4183,0.3222,0.0962,0.7267
us-city-state,train,6,0.4247,0.3234,0.1013,0.6867
verb_tense_label,train,0,0.1969,0.2656,-0.0687,0.0000
verb_tense_label,train,1,0.3363,0.3473,-0.0110,0.0733
verb_tense_label,train,2,0.3961,0.3662,0.0299,0.1600
verb_tense_label,train,3,0.4286,0.3724,0.0562,0.2000
verb_tense_label,train,4,0.4513,0.3772,0.0741,0.2600
verb_tense_label,train,5,0.4654,0.3813,0.0840,0.2867
verb_tense_label,train,6,0.4720,0.3830,0.0889,0.3200
verb_to_third_person,train,0,0.1347,0.2738,-0.1390,0.0000
verb_to_third_person,train,1,0.2864,0.3470,-0.0606,0.1800
verb_to_third_person,train,2,0.3303,0.3645,-0.0342,0.5000
verb_to_third_person,train,3,0.3438,0.3701,-0.0263,0.5467
verb_to_third_person,train,4,0.3564,0.3729,-0.0165,0.6467
verb_to_third_person,train,5,0.3712,0.3774,-0.0062,0.7000
verb_to_third_person,train,6,0.3823,0.3807,0.0016,0.7533
word_polarity,heldout,0,0.1935,0.2808,-0.0873,0.0000
word_polarity,heldout,1,0.3275,0.3521,-0.0246,0.1200
word_polarity,heldout,2,0.3771,0.3709,0.0062,0.3667
word_polarity,heldout,3,0.4129,0.3754,0.0375,0.4733
word_polarity,heldout,4,0.4256,0.3756,0.0500,0.6000
word_polarity,heldout,5,0.4348,0.3787,0.0561,0.6267
word_polarity,heldout,6,0.4391,0.3805,0.0586,0.6400
